total_cases novelDailyCases active_cases total_deaths daily_deaths
2.800000000000000000e+01 0.000000000000000000e+00 1.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 1.000000000000000000e+00 2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.000000000000000000e+00 2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 1.000000000000000000e+00 1.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 2.700000000000000000e+01 4.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.110000000000000000e+02 5.300000000000000000e+01 9.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.090000000000000000e+02 9.800000000000000000e+01 1.900000000000000000e+02 2.000000000000000000e+00 1.000000000000000000e+00
4.360000000000000000e+02 2.270000000000000000e+02 4.160000000000000000e+02 2.000000000000000000e+00 0.000000000000000000e+00
6.020000000000000000e+02 1.660000000000000000e+02 5.780000000000000000e+02 6.000000000000000000e+00 4.000000000000000000e+00
8.330000000000000000e+02 2.310000000000000000e+02 8.030000000000000000e+02 8.000000000000000000e+00 2.000000000000000000e+00
9.770000000000000000e+02 1.440000000000000000e+02 9.440000000000000000e+02 1.100000000000000000e+01 3.000000000000000000e+00
1.261000000000000000e+03 2.840000000000000000e+02 1.225000000000000000e+03 1.200000000000000000e+01 1.000000000000000000e+00
1.766000000000000000e+03 5.050000000000000000e+02 1.729000000000000000e+03 1.300000000000000000e+01 1.000000000000000000e+00
2.337000000000000000e+03 5.710000000000000000e+02 2.297000000000000000e+03 1.600000000000000000e+01 3.000000000000000000e+00
3.150000000000000000e+03 8.130000000000000000e+02 3.109000000000000000e+03 1.700000000000000000e+01 1.000000000000000000e+00
3.736000000000000000e+03 5.860000000000000000e+02 3.685000000000000000e+03 2.100000000000000000e+01 4.000000000000000000e+00
4.335000000000000000e+03 5.990000000000000000e+02 4.277000000000000000e+03 2.800000000000000000e+01 7.000000000000000000e+00
5.186000000000000000e+03 8.510000000000000000e+02 5.120000000000000000e+03 3.200000000000000000e+01 4.000000000000000000e+00
5.621000000000000000e+03 4.350000000000000000e+02 5.498000000000000000e+03 3.500000000000000000e+01 3.000000000000000000e+00
6.284000000000000000e+03 6.630000000000000000e+02 6.107000000000000000e+03 4.200000000000000000e+01 7.000000000000000000e+00
6.593000000000000000e+03 3.090000000000000000e+02 6.415000000000000000e+03 4.300000000000000000e+01 1.000000000000000000e+00
7.041000000000000000e+03 4.480000000000000000e+02 6.875000000000000000e+03 4.800000000000000000e+01 5.000000000000000000e+00
7.313000000000000000e+03 2.720000000000000000e+02 7.097000000000000000e+03 5.000000000000000000e+01 2.000000000000000000e+00
7.478000000000000000e+03 1.650000000000000000e+02 7.178000000000000000e+03 5.300000000000000000e+01 3.000000000000000000e+00
7.513000000000000000e+03 3.500000000000000000e+01 7.165000000000000000e+03 6.000000000000000000e+01 7.000000000000000000e+00
7.755000000000000000e+03 2.420000000000000000e+02 7.362000000000000000e+03 6.000000000000000000e+01 0.000000000000000000e+00
7.869000000000000000e+03 1.140000000000000000e+02 7.293000000000000000e+03 6.600000000000000000e+01 6.000000000000000000e+00
7.979000000000000000e+03 1.100000000000000000e+02 7.198000000000000000e+03 6.700000000000000000e+01 1.000000000000000000e+00
8.086000000000000000e+03 1.070000000000000000e+02 7.180000000000000000e+03 7.200000000000000000e+01 5.000000000000000000e+00
8.162000000000000000e+03 7.600000000000000000e+01 7.253000000000000000e+03 7.500000000000000000e+01 3.000000000000000000e+00
8.236000000000000000e+03 7.400000000000000000e+01 7.024000000000000000e+03 7.500000000000000000e+01 0.000000000000000000e+00
8.320000000000000000e+03 8.400000000000000000e+01 6.838000000000000000e+03 8.100000000000000000e+01 6.000000000000000000e+00
